Capability_ID;Capability;Subcapability;Priorität(MUSS/SOLL/KANN);NeuroERP_Status(Yes/Partial/No);Evidence_Screenshot_IDs;Evidence_Flow_IDs;Gap_Beschreibung;Loesungstyp(A/B/C/D);Prioritaet(1-5);Owner;Notes;Baseline_ERP
CRM-ACC-01;Stammdaten & 360° View;Accounts / Firmenstamm;MUSS;Partial;;;Fehlt: Mehrere Adressen, Dublettencheck, Änderungsprotokoll;B;3;CRM-Team;Grundfunktion vorhanden (kunden-stamm.tsx), erweitern;SAP/Odoo
CRM-CON-01;Stammdaten & 360° View;Kontakte / Personenstamm;MUSS;Partial;;;Fehlt: Opt-in/Opt-out Management, Kommunikationspräferenzen;B;3;CRM-Team;Grundfunktion vorhanden (kontakte-liste.tsx), erweitern;SAP/Odoo
CRM-REL-01;Stammdaten & 360° View;Beziehungen & Hierarchien;SOLL;No;;;Komplett fehlend: Konzernhierarchie, Tochter/Partner;C;4;CRM-Team;Neues Modul erforderlich;SAP/Odoo
CRM-360-01;Stammdaten & 360° View;Customer Timeline;SOLL;Partial;;;Fehlt: Vollständige Timeline-View, Filter nach Typ/Datum/Owner;B;3;CRM-Team;Aktivitäten vorhanden, Timeline-View fehlt;SAP/Odoo
CRM-LED-01;Lead Management;Lead-Erfassung & Quellen;MUSS;Yes;;;Grundfunktion vorhanden, Quelle/Kampagne nachvollziehbar;A;2;CRM-Team;leads.tsx, lead-detail.tsx vorhanden;SAP/Odoo
CRM-LED-02;Lead Management;Lead-Qualifizierung & Scoring;SOLL;Partial;;;Fehlt: Regelbasiertes Scoring, automatische Priorisierung;C;4;CRM-Team;Status vorhanden, Scoring fehlt;SAP/Odoo
CRM-LED-03;Lead Management;Lead-Routing / Zuweisung;SOLL;No;;;Komplett fehlend: Automatische Zuweisung, SLA, Eskalation;C;4;CRM-Team;Neues Modul erforderlich;SAP/Odoo
CRM-LED-04;Lead Management;Dedupe & Merge;SOLL;No;;;Komplett fehlend: Dubletten-Erkennung, Merge-Funktion;C;4;CRM-Team;Neues Modul erforderlich;SAP/Odoo
CRM-OPP-01;Opportunities;Opportunities / Deals;MUSS;No;;;Komplett fehlend: Sales Pipeline, Deals, Stages, Wahrscheinlichkeit;C;1;Sales-Team;Kritisch für Sales, neues Modul erforderlich;SAP/Odoo
CRM-OPP-02;Opportunities;Stage-/Process-Templates;SOLL;No;;;Komplett fehlend: Stage-Modelle, Pflichtfelder je Stage;C;3;Sales-Team;Abhängig von CRM-OPP-01;SAP/Odoo
