Capability_ID;Capability;Subcapability;Priorität(MUSS/SOLL/KANN);NeuroERP_Status(Yes/Partial/No);Evidence_Screenshot_IDs;Evidence_Flow_IDs;Gap_Beschreibung;Loesungstyp(A/B/C/D);Prioritaet(1-5);Owner;Notes;Baseline_ERP
FIBU-GL-01;Hauptbuch (GL);Kontenplan & Kontenstamm;MUSS;Partial;20251124_095102_03_finance_module.png;finance_mission_2025-11-24T08-51-19.344194;Kontenplan-Seite vorhanden (chart-of-accounts.tsx), aber Hierarchie/Hierarchieauswertung unklar;D;2;Frontend;Seite vorhanden, Funktionalität prüfen;Odoo-ähnlich
FIBU-GL-02;Hauptbuch (GL);Belegprinzip & Nummernkreise;MUSS;Partial;;;Nummernkreise in documents/router.py vorhanden, aber Belegprinzip/Storno-Dialog unklar;C;2;Backend;Prüfen ob Storno/Korrekturbelege vollständig;Basic
FIBU-GL-03;Hauptbuch (GL);Journalbuchungen (manuell);MUSS;Yes;20251124_095108_05_create_invoice_form.png;finance_mission_2025-11-24T08-51-19.344194;Buchungserfassung.tsx vorhanden, API journal_entries.py vorhanden, Validierung (Saldo 0) vorhanden;A;1;Backend;Funktional, aber UI/UX prüfen;Odoo-ähnlich
FIBU-GL-04;Hauptbuch (GL);Sammel-/Massenbuchungen;SOLL;No;;;Kein Import-Screen für CSV/Excel/API gefunden;C;3;Backend;Neues Feature erforderlich;Missing
FIBU-GL-05;Hauptbuch (GL);Periodensteuerung;MUSS;No;;;Keine Perioden-Admin-Screen gefunden, keine Sperrlogik;C;2;Backend;Kritisch für GoBD-Compliance;Missing
FIBU-GL-06;Hauptbuch (GL);Fremdwährung & Wechselkurse;SOLL;No;;;Keine Währungssetup/FX-Buchung gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-GL-07;Hauptbuch (GL);Automatische Buchungsschemata;SOLL;No;;;Keine Schema-Setup/Auto-Post gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-GL-08;Hauptbuch (GL);Kostenrechnung-Integrationspunkte;KANN;No;;;Keine Dimensionen (Kostenstellen/Kostenträger) gefunden;C;4;Backend;Optional;Missing
FIBU-AR-01;Debitoren (AR);Debitorenstamm;MUSS;Partial;20251124_095105_04_invoices_list.png;finance_mission_2025-11-24T08-51-19.344194;debitoren-liste.tsx vorhanden, aber Stammdaten/Adressen/USt-ID/Kreditlimit unklar;D;2;Frontend;Seite vorhanden, Vollständigkeit prüfen;Basic
FIBU-AR-02;Debitoren (AR);Ausgangsrechnungen;MUSS;Partial;20251124_095105_04_invoices_list.png;20251124_095108_05_create_invoice_form.png;finance_mission_2025-11-24T08-51-19.344194;Invoices-Liste und Create Invoice vorhanden, API finance_invoices.py erstellt, aber GL-Buchung/OP-Erzeugung unklar;B;1;Backend;Formular vorhanden, Backend-Integration prüfen;Odoo-ähnlich
FIBU-AR-03;Debitoren (AR);Zahlungseingänge & Matching;MUSS;No;;;Kein Payment-Match-UI gefunden, keine Bankimport-Funktionalität;C;1;Backend;Kritisch für OP-Verwaltung;Missing
FIBU-AR-04;Debitoren (AR);Mahnwesen / Dunning;SOLL;Partial;20251124_095102_03_finance_module.png;;mahnwesen.tsx und dunning-editor.tsx vorhanden, aber Mahnstufen/Gebühren/Sperrlogik unklar;D;3;Frontend;Seite vorhanden, Funktionalität prüfen;Basic
FIBU-AR-05;Debitoren (AR);OP-Verwaltung & Ausgleich;MUSS;Partial;20251124_095102_03_finance_module.png;;op-debitoren.tsx vorhanden, aber Ausgleich/Verrechnung/Audit-Trail unklar;D;2;Frontend;Seite vorhanden, Funktionalität prüfen;Basic
FIBU-AP-01;Kreditoren (AP);Kreditorenstamm;MUSS;Partial;20251124_095102_03_finance_module.png;;kreditoren-stamm.tsx vorhanden, aber Stammdaten/Bankdaten/IBAN-Validierung unklar;D;2;Frontend;Seite vorhanden, Vollständigkeit prüfen;Basic
FIBU-AP-02;Kreditoren (AP);Eingangsrechnungen;MUSS;No;;;Keine Eingangsrechnungen-Seite/API gefunden;C;1;Backend;Kritisch für AP-Prozess;Missing
FIBU-AP-03;Kreditoren (AP);Prüf-/Freigabeworkflow;SOLL;No;;;Kein Workflow-Setup/UI gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-AP-04;Kreditoren (AP);Zahlungsläufe / SEPA;MUSS;Partial;20251124_095102_03_finance_module.png;;zahlungslauf-kreditoren.tsx vorhanden, aber SEPA XML Export/Status/Rückläufer unklar;D;2;Frontend;Seite vorhanden, SEPA-Export prüfen;Basic
FIBU-AP-05;Kreditoren (AP);OP-Verwaltung & Ausgleich;MUSS;No;;;Keine OP-Liste für Kreditoren gefunden;C;2;Backend;Erforderlich für AP;Missing
FIBU-BNK-01;Bank/Cash;Bankkontenstamm;MUSS;Partial;;;Bankkonten in database/schema.sql vorhanden, aber Bankstamm-UI unklar;D;2;Frontend;Schema vorhanden, UI prüfen;Basic
FIBU-BNK-02;Bank/Cash;Kontoauszugsimport;MUSS;Partial;20251124_095102_03_finance_module.png;;bank-abgleich.tsx vorhanden, aber CAMT/MT940/CSV-Import unklar;D;2;Frontend;Seite vorhanden, Import-Formate prüfen;Basic
FIBU-BNK-03;Bank/Cash;Automatisches Matching;SOLL;No;;;Keine Match-UI/regelbasiertes Matching gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-BNK-04;Bank/Cash;Bankabstimmung;MUSS;Partial;20251124_095102_03_finance_module.png;;bank-abgleich.tsx vorhanden, aber Saldoabgleich/Differenzliste unklar;D;2;Frontend;Seite vorhanden, Funktionalität prüfen;Basic
FIBU-FA-01;Anlagen (FA);Anlageklassen & AfA;SOLL;No;;;Keine Anlageklassen-Setup gefunden;C;4;Backend;Optional;Missing
FIBU-FA-02;Anlagen (FA);Zugänge;SOLL;No;;;Kein FA-Create-Flow gefunden;C;4;Backend;Optional;Missing
FIBU-FA-03;Anlagen (FA);Abschreibungslauf;SOLL;No;;;Kein Depreciation-Run gefunden;C;4;Backend;Optional;Missing
FIBU-FA-04;Anlagen (FA);Abgänge & Umbuchungen;SOLL;No;;;Kein Disposal-Flow gefunden;C;4;Backend;Optional;Missing
FIBU-FA-05;Anlagen (FA);Anlagenspiegel;SOLL;No;;;Kein Report gefunden;C;4;Backend;Optional;Missing
FIBU-TAX-01;Steuern/Compliance;Steuerschlüssel-System;MUSS;Partial;20251124_095102_03_finance_module.png;;steuerschluessel.tsx vorhanden, aber Steuerarten/Sätze/Länderlogik/Reverse-Charge unklar;D;2;Frontend;Seite vorhanden, Vollständigkeit prüfen;Basic
FIBU-TAX-02;Steuern/Compliance;USt-Voranmeldung / ZM / OSS;SOLL;Partial;20251124_095102_03_finance_module.png;;ustva.tsx vorhanden, aber Export Behördenformat (ELSTER) unklar;D;3;Frontend;Seite vorhanden, Export-Format prüfen;Basic
FIBU-TAX-03;Steuern/Compliance;E-Rechnung (ZUGFeRD/XRechnung);SOLL;No;;;Keine E-Invoice-UI/Import/Export gefunden;C;3;Backend;Nice-to-have;Missing
